timestamp,Bx,By,Bz,B_total
2026-08-18 03:30:00,20199.5,926.72,44668.98,49032.4
2026-08-18 03:31:00,20200.3,926.37,44669.46,49033.16
2026-08-18 03:32:00,20200.27,926.27,44669.58,49033.26
2026-08-18 03:33:00,20200.05,926.29,44669.34,49032.94
2026-08-18 03:34:00,20200.36,926.28,44669.6,49033.3
2026-08-18 03:35:00,20199.69,926.83,44669.29,49032.75
2026-08-18 03:36:00,20199.02,927.76,44668.77,49032.04
2026-08-18 03:37:00,20199.04,927.62,44669.23,49032.46
2026-08-18 03:38:00,20198.53,927.43,44669.13,49032.16
2026-08-18 03:39:00,20199.02,927.09,44669.44,49032.63
2026-08-18 03:40:00,20199.24,926.86,44669.45,49032.72
2026-08-18 03:41:00,20199.53,926.31,44669.49,49032.88
2026-08-18 03:42:00,20200.23,926.14,44669.55,49033.21
2026-08-18 03:43:00,20200.3,926.72,44669.23,49032.96
2026-08-18 03:44:00,20200.45,927.05,44668.87,49032.69
2026-08-18 03:45:00,20200.9,927.51,44668.79,49032.81
2026-08-18 03:46:00,20200.88,927.12,44668.69,49032.71
2026-08-18 03:47:00,20200.3,927.47,44668.84,49032.6
2026-08-18 03:48:00,20200.8,926.94,44669.24,49033.19
2026-08-18 03:49:00,20200.62,925.73,44669.54,49033.31
2026-08-18 03:50:00,20199.53,925.67,44669.5,49032.84
2026-08-18 03:51:00,20199.76,926.29,44669.68,49033.13
2026-08-18 03:52:00,20201.06,925.65,44669.67,49033.64
2026-08-18 03:53:00,20203.22,923.71,44670.07,49034.85
2026-08-18 03:54:00,20205.78,920.29,44671.04,49036.71
2026-08-18 03:55:00,20205.12,919.02,44671.16,49036.52
2026-08-18 03:56:00,20204.78,918.68,44671.26,49036.46
2026-08-18 03:57:00,20204.74,917.24,44671.51,49036.64
2026-08-18 03:58:00,20203.97,917.16,44671.34,49036.18
2026-08-18 03:59:00,20203.85,917.68,44671.03,49035.83
2026-08-18 04:00:00,20203.28,918.87,44670.37,49035.03
2026-08-18 04:01:00,20201.72,919.31,44670.14,49034.19
2026-08-18 04:02:00,20198.45,921.31,44669.35,49032.16
2026-08-18 04:03:00,20197.11,922.67,44669.16,49031.48
2026-08-18 04:04:00,20196.48,923.4,44669.28,49031.34
2026-08-18 04:05:00,20196.84,923.94,44669.09,49031.33
2026-08-18 04:06:00,20197.72,923.06,44669.47,49032.02
2026-08-18 04:07:00,20198.16,920.9,44669.86,49032.53
2026-08-18 04:08:00,20198.0,919.65,44670.29,49032.82
2026-08-18 04:09:00,20198.42,919.15,44670.73,49033.38
2026-08-18 04:10:00,20198.85,917.66,44670.78,49033.59
2026-08-18 04:11:00,20198.24,917.06,44670.63,49033.18
2026-08-18 04:12:00,20199.07,917.34,44671.06,49033.94
2026-08-18 04:13:00,20199.18,917.62,44670.99,49033.91
2026-08-18 04:14:00,20199.13,917.46,44670.6,49033.53
2026-08-18 04:15:00,20199.78,916.46,44670.27,49033.47
2026-08-18 04:16:00,20201.57,914.26,44670.75,49034.61
2026-08-18 04:17:00,20202.73,912.38,44671.11,49035.37
2026-08-18 04:18:00,20203.07,910.39,44671.2,49035.56
2026-08-18 04:19:00,20202.22,910.36,44670.89,49034.9
2026-08-18 04:20:00,20202.38,910.94,44670.79,49034.92
2026-08-18 04:21:00,20202.86,910.8,44670.54,49034.88
2026-08-18 04:22:00,20203.59,910.11,44670.79,49035.41
2026-08-18 04:23:00,20202.17,911.75,44669.91,49034.07
2026-08-18 04:24:00,20201.99,914.26,44669.68,49033.82
2026-08-18 04:25:00,20200.83,916.92,44668.76,49032.54
2026-08-18 04:26:00,20200.71,918.76,44668.28,49032.1
2026-08-18 04:27:00,20201.51,918.61,44668.24,49032.39
2026-08-18 04:28:00,20202.06,917.64,44668.29,49032.63
2026-08-18 04:29:00,20201.87,916.72,44668.67,49032.88
2026-08-18 04:30:00,20201.64,916.87,44669.08,49033.15
2026-08-18 04:31:00,20200.69,919.43,44668.17,49031.99
2026-08-18 04:32:00,20202.96,919.27,44668.31,49033.06
2026-08-18 04:33:00,20204.63,917.66,44668.62,49033.97
2026-08-18 04:34:00,20205.2,916.23,44668.13,49033.74
2026-08-18 04:35:00,20205.96,915.81,44668.34,49034.24
2026-08-18 04:36:00,20205.44,916.26,44668.32,49034.0
2026-08-18 04:37:00,20204.69,917.23,44668.0,49033.43
2026-08-18 04:38:00,20203.72,918.75,44667.47,49032.57
2026-08-18 04:39:00,20202.26,920.03,44667.03,49031.58
2026-08-18 04:40:00,20200.95,921.19,44666.88,49030.93
2026-08-18 04:41:00,20199.51,922.48,44666.5,49030.01
2026-08-18 04:42:00,20199.17,922.58,44666.63,49030.02
2026-08-18 04:43:00,20198.83,921.3,44667.3,49030.47
2026-08-18 04:44:00,20197.28,921.17,44667.4,49029.92
2026-08-18 04:45:00,20196.49,921.61,44667.52,49029.71
2026-08-18 04:46:00,20195.69,921.81,44667.36,49029.25
2026-08-18 04:47:00,20196.4,922.04,44668.08,49030.22
2026-08-18 04:48:00,20196.65,921.98,44667.72,49029.98
2026-08-18 04:49:00,20197.62,921.37,44667.75,49030.39
2026-08-18 04:50:00,20199.19,919.46,44668.38,49031.58
2026-08-18 04:51:00,20199.37,916.71,44668.95,49032.13
2026-08-18 04:52:00,20198.99,915.19,44669.64,49032.56
2026-08-18 04:53:00,20197.89,915.4,44669.7,49032.19
2026-08-18 04:54:00,20196.72,915.19,44669.66,49031.65
2026-08-18 04:55:00,20195.67,915.98,44669.93,49031.48
2026-08-18 04:56:00,20193.42,917.81,44668.93,49029.68
2026-08-18 04:57:00,20191.74,920.57,44668.17,49028.36
2026-08-18 04:58:00,20191.88,921.58,44667.76,49028.07
2026-08-18 04:59:00,20191.8,921.55,44668.08,49028.32
2026-08-18 05:00:00,20191.01,923.25,44667.41,49027.43
2026-08-18 05:01:00,20191.04,923.76,44667.47,49027.51
2026-08-18 05:02:00,20189.85,924.95,44667.33,49026.9
2026-08-18 05:03:00,20189.0,925.79,44667.07,49026.33
2026-08-18 05:04:00,20187.65,926.29,44666.73,49025.47
2026-08-18 05:05:00,20185.86,927.22,44666.55,49024.61
2026-08-18 05:06:00,20184.04,926.86,44666.55,49023.86
2026-08-18 05:07:00,20181.91,925.98,44666.88,49023.29
2026-08-18 05:08:00,20181.05,927.55,44666.9,49022.99
2026-08-18 05:09:00,20181.31,925.5,44667.66,49023.75
2026-08-18 05:10:00,20179.94,925.58,44667.84,49023.34
2026-08-18 05:11:00,20178.26,928.2,44667.1,49022.02
2026-08-18 05:12:00,20177.55,929.95,44666.68,49021.39
2026-08-18 05:13:00,20178.17,930.42,44667.09,49022.04
